遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#1879,遥测(AI)#1879,1879,-8122,遥控(DO)#1879,2,1,遥调(AO)#1879,累计量(CI)#1879
遥信(DI)#1880,遥测(AI)#1880,1880,-8121,遥控(DO)#1880,2,1,遥调(AO)#1880,累计量(CI)#1880
遥信(DI)#1881,遥测(AI)#1881,1881,-8120,遥控(DO)#1881,2,1,遥调(AO)#1881,累计量(CI)#1881
遥信(DI)#1882,遥测(AI)#1882,1882,-8119,遥控(DO)#1882,2,1,遥调(AO)#1882,累计量(CI)#1882
遥信(DI)#1883,遥测(AI)#1883,1883,-8118,遥控(DO)#1883,2,1,遥调(AO)#1883,累计量(CI)#1883
遥信(DI)#1884,遥测(AI)#1884,1884,-8117,遥控(DO)#1884,2,1,遥调(AO)#1884,累计量(CI)#1884
遥信(DI)#1885,遥测(AI)#1885,1885,-8116,遥控(DO)#1885,2,1,遥调(AO)#1885,累计量(CI)#1885
遥信(DI)#1886,遥测(AI)#1886,1886,-8115,遥控(DO)#1886,2,1,遥调(AO)#1886,累计量(CI)#1886
遥信(DI)#1887,遥测(AI)#1887,1887,-8114,遥控(DO)#1887,2,1,遥调(AO)#1887,累计量(CI)#1887
遥信(DI)#1888,遥测(AI)#1888,1888,-8113,遥控(DO)#1888,2,1,遥调(AO)#1888,累计量(CI)#1888
遥信(DI)#1889,遥测(AI)#1889,1889,-8112,遥控(DO)#1889,2,1,遥调(AO)#1889,累计量(CI)#1889
遥信(DI)#1890,遥测(AI)#1890,1890,-8111,遥控(DO)#1890,2,1,遥调(AO)#1890,累计量(CI)#1890
遥信(DI)#1891,遥测(AI)#1891,1891,-8110,遥控(DO)#1891,2,1,遥调(AO)#1891,累计量(CI)#1891
遥信(DI)#1892,遥测(AI)#1892,1892,-8109,遥控(DO)#1892,2,1,遥调(AO)#1892,累计量(CI)#1892
遥信(DI)#1893,遥测(AI)#1893,1893,-8108,遥控(DO)#1893,2,1,遥调(AO)#1893,累计量(CI)#1893
遥信(DI)#1894,遥测(AI)#1894,1894,-8107,遥控(DO)#1894,2,1,遥调(AO)#1894,累计量(CI)#1894
遥信(DI)#1895,遥测(AI)#1895,1895,-8106,遥控(DO)#1895,2,1,遥调(AO)#1895,累计量(CI)#1895
遥信(DI)#1896,遥测(AI)#1896,1896,-8105,遥控(DO)#1896,2,1,遥调(AO)#1896,累计量(CI)#1896
遥信(DI)#1897,遥测(AI)#1897,1897,-8104,遥控(DO)#1897,2,1,遥调(AO)#1897,累计量(CI)#1897
遥信(DI)#1898,遥测(AI)#1898,1898,-8103,遥控(DO)#1898,2,1,遥调(AO)#1898,累计量(CI)#1898
遥信(DI)#1899,遥测(AI)#1899,1899,-8102,遥控(DO)#1899,2,1,遥调(AO)#1899,累计量(CI)#1899
遥信(DI)#1900,遥测(AI)#1900,1900,-8101,遥控(DO)#1900,2,1,遥调(AO)#1900,累计量(CI)#1900
遥信(DI)#1901,遥测(AI)#1901,1901,-8100,遥控(DO)#1901,2,1,遥调(AO)#1901,累计量(CI)#1901
遥信(DI)#1902,遥测(AI)#1902,1902,-8099,遥控(DO)#1902,2,1,遥调(AO)#1902,累计量(CI)#1902
遥信(DI)#1903,遥测(AI)#1903,1903,-8098,遥控(DO)#1903,2,1,遥调(AO)#1903,累计量(CI)#1903
遥信(DI)#1904,遥测(AI)#1904,1904,-8097,遥控(DO)#1904,2,1,遥调(AO)#1904,累计量(CI)#1904
遥信(DI)#1905,遥测(AI)#1905,1905,-8096,遥控(DO)#1905,2,1,遥调(AO)#1905,累计量(CI)#1905
遥信(DI)#1906,遥测(AI)#1906,1906,-8095,遥控(DO)#1906,2,1,遥调(AO)#1906,累计量(CI)#1906
遥信(DI)#1907,遥测(AI)#1907,1907,-8094,遥控(DO)#1907,2,1,遥调(AO)#1907,累计量(CI)#1907
遥信(DI)#1908,遥测(AI)#1908,1908,-8093,遥控(DO)#1908,2,1,遥调(AO)#1908,累计量(CI)#1908
遥信(DI)#1909,遥测(AI)#1909,1909,-8092,遥控(DO)#1909,2,1,遥调(AO)#1909,累计量(CI)#1909
遥信(DI)#1910,遥测(AI)#1910,1910,-8091,遥控(DO)#1910,2,1,遥调(AO)#1910,累计量(CI)#1910
遥信(DI)#1911,遥测(AI)#1911,1911,-8090,遥控(DO)#1911,2,1,遥调(AO)#1911,累计量(CI)#1911
遥信(DI)#1912,遥测(AI)#1912,1912,-8089,遥控(DO)#1912,2,1,遥调(AO)#1912,累计量(CI)#1912
遥信(DI)#1913,遥测(AI)#1913,1913,-8088,遥控(DO)#1913,2,1,遥调(AO)#1913,累计量(CI)#1913
遥信(DI)#1914,遥测(AI)#1914,1914,-8087,遥控(DO)#1914,2,1,遥调(AO)#1914,累计量(CI)#1914
遥信(DI)#1915,遥测(AI)#1915,1915,-8086,遥控(DO)#1915,2,1,遥调(AO)#1915,累计量(CI)#1915
遥信(DI)#1916,遥测(AI)#1916,1916,-8085,遥控(DO)#1916,2,1,遥调(AO)#1916,累计量(CI)#1916
遥信(DI)#1917,遥测(AI)#1917,1917,-8084,遥控(DO)#1917,2,1,遥调(AO)#1917,累计量(CI)#1917
遥信(DI)#1918,遥测(AI)#1918,1918,-8083,遥控(DO)#1918,2,1,遥调(AO)#1918,累计量(CI)#1918
遥信(DI)#1919,遥测(AI)#1919,1919,-8082,遥控(DO)#1919,2,1,遥调(AO)#1919,累计量(CI)#1919
遥信(DI)#1920,遥测(AI)#1920,1920,-8081,遥控(DO)#1920,2,1,遥调(AO)#1920,累计量(CI)#1920
遥信(DI)#1921,遥测(AI)#1921,1921,-8080,遥控(DO)#1921,2,1,遥调(AO)#1921,累计量(CI)#1921
遥信(DI)#1922,遥测(AI)#1922,1922,-8079,遥控(DO)#1922,2,1,遥调(AO)#1922,累计量(CI)#1922
遥信(DI)#1923,遥测(AI)#1923,1923,-8078,遥控(DO)#1923,2,1,遥调(AO)#1923,累计量(CI)#1923
遥信(DI)#1924,遥测(AI)#1924,1924,-8077,遥控(DO)#1924,2,1,遥调(AO)#1924,累计量(CI)#1924
遥信(DI)#1925,遥测(AI)#1925,1925,-8076,遥控(DO)#1925,2,1,遥调(AO)#1925,累计量(CI)#1925
遥信(DI)#1926,遥测(AI)#1926,1926,-8075,遥控(DO)#1926,2,1,遥调(AO)#1926,累计量(CI)#1926
遥信(DI)#1927,遥测(AI)#1927,1927,-8074,遥控(DO)#1927,2,1,遥调(AO)#1927,累计量(CI)#1927
遥信(DI)#1928,遥测(AI)#1928,1928,-8073,遥控(DO)#1928,2,1,遥调(AO)#1928,累计量(CI)#1928
遥信(DI)#1929,遥测(AI)#1929,1929,-8072,遥控(DO)#1929,2,1,遥调(AO)#1929,累计量(CI)#1929
遥信(DI)#1930,遥测(AI)#1930,1930,-8071,遥控(DO)#1930,2,1,遥调(AO)#1930,累计量(CI)#1930
遥信(DI)#1931,遥测(AI)#1931,1931,-8070,遥控(DO)#1931,2,1,遥调(AO)#1931,累计量(CI)#1931
遥信(DI)#1932,遥测(AI)#1932,1932,-8069,遥控(DO)#1932,2,1,遥调(AO)#1932,累计量(CI)#1932
遥信(DI)#1933,遥测(AI)#1933,1933,-8068,遥控(DO)#1933,2,1,遥调(AO)#1933,累计量(CI)#1933
遥信(DI)#1934,遥测(AI)#1934,1934,-8067,遥控(DO)#1934,2,1,遥调(AO)#1934,累计量(CI)#1934
遥信(DI)#1935,遥测(AI)#1935,1935,-8066,遥控(DO)#1935,2,1,遥调(AO)#1935,累计量(CI)#1935
遥信(DI)#1936,遥测(AI)#1936,1936,-8065,遥控(DO)#1936,2,1,遥调(AO)#1936,累计量(CI)#1936
遥信(DI)#1937,遥测(AI)#1937,1937,-8064,遥控(DO)#1937,2,1,遥调(AO)#1937,累计量(CI)#1937
遥信(DI)#1938,遥测(AI)#1938,1938,-8063,遥控(DO)#1938,2,1,遥调(AO)#1938,累计量(CI)#1938
遥信(DI)#1939,遥测(AI)#1939,1939,-8062,遥控(DO)#1939,2,1,遥调(AO)#1939,累计量(CI)#1939
遥信(DI)#1940,遥测(AI)#1940,1940,-8061,遥控(DO)#1940,2,1,遥调(AO)#1940,累计量(CI)#1940
遥信(DI)#1941,遥测(AI)#1941,1941,-8060,遥控(DO)#1941,2,1,遥调(AO)#1941,累计量(CI)#1941
遥信(DI)#1942,遥测(AI)#1942,1942,-8059,遥控(DO)#1942,2,1,遥调(AO)#1942,累计量(CI)#1942
遥信(DI)#1943,遥测(AI)#1943,1943,-8058,遥控(DO)#1943,2,1,遥调(AO)#1943,累计量(CI)#1943
遥信(DI)#1944,遥测(AI)#1944,1944,-8057,遥控(DO)#1944,2,1,遥调(AO)#1944,累计量(CI)#1944
遥信(DI)#1945,遥测(AI)#1945,1945,-8056,遥控(DO)#1945,2,1,遥调(AO)#1945,累计量(CI)#1945
遥信(DI)#1946,遥测(AI)#1946,1946,-8055,遥控(DO)#1946,2,1,遥调(AO)#1946,累计量(CI)#1946
遥信(DI)#1947,遥测(AI)#1947,1947,-8054,遥控(DO)#1947,2,1,遥调(AO)#1947,累计量(CI)#1947
遥信(DI)#1948,遥测(AI)#1948,1948,-8053,遥控(DO)#1948,2,1,遥调(AO)#1948,累计量(CI)#1948
遥信(DI)#1949,遥测(AI)#1949,1949,-8052,遥控(DO)#1949,2,1,遥调(AO)#1949,累计量(CI)#1949
遥信(DI)#1950,遥测(AI)#1950,1950,-8051,遥控(DO)#1950,2,1,遥调(AO)#1950,累计量(CI)#1950
遥信(DI)#1951,遥测(AI)#1951,1951,-8050,遥控(DO)#1951,2,1,遥调(AO)#1951,累计量(CI)#1951
遥信(DI)#1952,遥测(AI)#1952,1952,-8049,遥控(DO)#1952,2,1,遥调(AO)#1952,累计量(CI)#1952
遥信(DI)#1953,遥测(AI)#1953,1953,-8048,遥控(DO)#1953,2,1,遥调(AO)#1953,累计量(CI)#1953
遥信(DI)#1954,遥测(AI)#1954,1954,-8047,遥控(DO)#1954,2,1,遥调(AO)#1954,累计量(CI)#1954
遥信(DI)#1955,遥测(AI)#1955,1955,-8046,遥控(DO)#1955,2,1,遥调(AO)#1955,累计量(CI)#1955
遥信(DI)#1956,遥测(AI)#1956,1956,-8045,遥控(DO)#1956,2,1,遥调(AO)#1956,累计量(CI)#1956
遥信(DI)#1957,遥测(AI)#1957,1957,-8044,遥控(DO)#1957,2,1,遥调(AO)#1957,累计量(CI)#1957
遥信(DI)#1958,遥测(AI)#1958,1958,-8043,遥控(DO)#1958,2,1,遥调(AO)#1958,累计量(CI)#1958
遥信(DI)#1959,遥测(AI)#1959,1959,-8042,遥控(DO)#1959,2,1,遥调(AO)#1959,累计量(CI)#1959
遥信(DI)#1960,遥测(AI)#1960,1960,-8041,遥控(DO)#1960,2,1,遥调(AO)#1960,累计量(CI)#1960
遥信(DI)#1961,遥测(AI)#1961,1961,-8040,遥控(DO)#1961,2,1,遥调(AO)#1961,累计量(CI)#1961
遥信(DI)#1962,遥测(AI)#1962,1962,-8039,遥控(DO)#1962,2,1,遥调(AO)#1962,累计量(CI)#1962
遥信(DI)#1963,遥测(AI)#1963,1963,-8038,遥控(DO)#1963,2,1,遥调(AO)#1963,累计量(CI)#1963
遥信(DI)#1964,遥测(AI)#1964,1964,-8037,遥控(DO)#1964,2,1,遥调(AO)#1964,累计量(CI)#1964
遥信(DI)#1965,遥测(AI)#1965,1965,-8036,遥控(DO)#1965,2,1,遥调(AO)#1965,累计量(CI)#1965
遥信(DI)#1966,遥测(AI)#1966,1966,-8035,遥控(DO)#1966,2,1,遥调(AO)#1966,累计量(CI)#1966
遥信(DI)#1967,遥测(AI)#1967,1967,-8034,遥控(DO)#1967,2,1,遥调(AO)#1967,累计量(CI)#1967
遥信(DI)#1968,遥测(AI)#1968,1968,-8033,遥控(DO)#1968,2,1,遥调(AO)#1968,累计量(CI)#1968
遥信(DI)#1969,遥测(AI)#1969,1969,-8032,遥控(DO)#1969,2,1,遥调(AO)#1969,累计量(CI)#1969
遥信(DI)#1970,遥测(AI)#1970,1970,-8031,遥控(DO)#1970,2,1,遥调(AO)#1970,累计量(CI)#1970
遥信(DI)#1971,遥测(AI)#1971,1971,-8030,遥控(DO)#1971,2,1,遥调(AO)#1971,累计量(CI)#1971
遥信(DI)#1972,遥测(AI)#1972,1972,-8029,遥控(DO)#1972,2,1,遥调(AO)#1972,累计量(CI)#1972
遥信(DI)#1973,遥测(AI)#1973,1973,-8028,遥控(DO)#1973,2,1,遥调(AO)#1973,累计量(CI)#1973
遥信(DI)#1974,遥测(AI)#1974,1974,-8027,遥控(DO)#1974,2,1,遥调(AO)#1974,累计量(CI)#1974
遥信(DI)#1975,遥测(AI)#1975,1975,-8026,遥控(DO)#1975,2,1,遥调(AO)#1975,累计量(CI)#1975
遥信(DI)#1976,遥测(AI)#1976,1976,-8025,遥控(DO)#1976,2,1,遥调(AO)#1976,累计量(CI)#1976
遥信(DI)#1977,遥测(AI)#1977,1977,-8024,遥控(DO)#1977,2,1,遥调(AO)#1977,累计量(CI)#1977
遥信(DI)#1978,遥测(AI)#1978,1978,-8023,遥控(DO)#1978,2,1,遥调(AO)#1978,累计量(CI)#1978
遥信(DI)#1979,遥测(AI)#1979,1979,-8022,遥控(DO)#1979,2,1,遥调(AO)#1979,累计量(CI)#1979
遥信(DI)#1980,遥测(AI)#1980,1980,-8021,遥控(DO)#1980,2,1,遥调(AO)#1980,累计量(CI)#1980
遥信(DI)#1981,遥测(AI)#1981,1981,-8020,遥控(DO)#1981,2,1,遥调(AO)#1981,累计量(CI)#1981
遥信(DI)#1982,遥测(AI)#1982,1982,-8019,遥控(DO)#1982,2,1,遥调(AO)#1982,累计量(CI)#1982
遥信(DI)#1983,遥测(AI)#1983,1983,-8018,遥控(DO)#1983,2,1,遥调(AO)#1983,累计量(CI)#1983
遥信(DI)#1984,遥测(AI)#1984,1984,-8017,遥控(DO)#1984,2,1,遥调(AO)#1984,累计量(CI)#1984
遥信(DI)#1985,遥测(AI)#1985,1985,-8016,遥控(DO)#1985,2,1,遥调(AO)#1985,累计量(CI)#1985
遥信(DI)#1986,遥测(AI)#1986,1986,-8015,遥控(DO)#1986,2,1,遥调(AO)#1986,累计量(CI)#1986
遥信(DI)#1987,遥测(AI)#1987,1987,-8014,遥控(DO)#1987,2,1,遥调(AO)#1987,累计量(CI)#1987
遥信(DI)#1988,遥测(AI)#1988,1988,-8013,遥控(DO)#1988,2,1,遥调(AO)#1988,累计量(CI)#1988
遥信(DI)#1989,遥测(AI)#1989,1989,-8012,遥控(DO)#1989,2,1,遥调(AO)#1989,累计量(CI)#1989
遥信(DI)#1990,遥测(AI)#1990,1990,-8011,遥控(DO)#1990,2,1,遥调(AO)#1990,累计量(CI)#1990
遥信(DI)#1991,遥测(AI)#1991,1991,-8010,遥控(DO)#1991,2,1,遥调(AO)#1991,累计量(CI)#1991
遥信(DI)#1992,遥测(AI)#1992,1992,-8009,遥控(DO)#1992,2,1,遥调(AO)#1992,累计量(CI)#1992
遥信(DI)#1993,遥测(AI)#1993,1993,-8008,遥控(DO)#1993,2,1,遥调(AO)#1993,累计量(CI)#1993
遥信(DI)#1994,遥测(AI)#1994,1994,-8007,遥控(DO)#1994,2,1,遥调(AO)#1994,累计量(CI)#1994
遥信(DI)#1995,遥测(AI)#1995,1995,-8006,遥控(DO)#1995,2,1,遥调(AO)#1995,累计量(CI)#1995
遥信(DI)#1996,遥测(AI)#1996,1996,-8005,遥控(DO)#1996,2,1,遥调(AO)#1996,累计量(CI)#1996
遥信(DI)#1997,遥测(AI)#1997,1997,-8004,遥控(DO)#1997,2,1,遥调(AO)#1997,累计量(CI)#1997
遥信(DI)#1998,遥测(AI)#1998,1998,-8003,遥控(DO)#1998,2,1,遥调(AO)#1998,累计量(CI)#1998
遥信(DI)#1999,遥测(AI)#1999,1999,-8002,遥控(DO)#1999,2,1,遥调(AO)#1999,累计量(CI)#1999
遥信(DI)#2000,遥测(AI)#2000,2000,-8001,遥控(DO)#2000,2,1,遥调(AO)#2000,累计量(CI)#2000
遥信(DI)#2001,遥测(AI)#2001,2001,-8000,遥控(DO)#2001,2,1,遥调(AO)#2001,累计量(CI)#2001
遥信(DI)#2002,遥测(AI)#2002,2002,-7999,遥控(DO)#2002,2,1,遥调(AO)#2002,累计量(CI)#2002
遥信(DI)#2003,遥测(AI)#2003,2003,-7998,遥控(DO)#2003,2,1,遥调(AO)#2003,累计量(CI)#2003
遥信(DI)#2004,遥测(AI)#2004,2004,-7997,遥控(DO)#2004,2,1,遥调(AO)#2004,累计量(CI)#2004
遥信(DI)#2005,遥测(AI)#2005,2005,-7996,遥控(DO)#2005,2,1,遥调(AO)#2005,累计量(CI)#2005
遥信(DI)#2006,遥测(AI)#2006,2006,-7995,遥控(DO)#2006,2,1,遥调(AO)#2006,累计量(CI)#2006
遥信(DI)#2007,遥测(AI)#2007,2007,-7994,遥控(DO)#2007,2,1,遥调(AO)#2007,累计量(CI)#2007
遥信(DI)#2008,遥测(AI)#2008,2008,-7993,遥控(DO)#2008,2,1,遥调(AO)#2008,累计量(CI)#2008
遥信(DI)#2009,遥测(AI)#2009,2009,-7992,遥控(DO)#2009,2,1,遥调(AO)#2009,累计量(CI)#2009
遥信(DI)#2010,遥测(AI)#2010,2010,-7991,遥控(DO)#2010,2,1,遥调(AO)#2010,累计量(CI)#2010
遥信(DI)#2011,遥测(AI)#2011,2011,-7990,遥控(DO)#2011,2,1,遥调(AO)#2011,累计量(CI)#2011
遥信(DI)#2012,遥测(AI)#2012,2012,-7989,遥控(DO)#2012,2,1,遥调(AO)#2012,累计量(CI)#2012
遥信(DI)#2013,遥测(AI)#2013,2013,-7988,遥控(DO)#2013,2,1,遥调(AO)#2013,累计量(CI)#2013
遥信(DI)#2014,遥测(AI)#2014,2014,-7987,遥控(DO)#2014,2,1,遥调(AO)#2014,累计量(CI)#2014
遥信(DI)#2015,遥测(AI)#2015,2015,-7986,遥控(DO)#2015,2,1,遥调(AO)#2015,累计量(CI)#2015
遥信(DI)#2016,遥测(AI)#2016,2016,-7985,遥控(DO)#2016,2,1,遥调(AO)#2016,累计量(CI)#2016
遥信(DI)#2017,遥测(AI)#2017,2017,-7984,遥控(DO)#2017,2,1,遥调(AO)#2017,累计量(CI)#2017
遥信(DI)#2018,遥测(AI)#2018,2018,-7983,遥控(DO)#2018,2,1,遥调(AO)#2018,累计量(CI)#2018
遥信(DI)#2019,遥测(AI)#2019,2019,-7982,遥控(DO)#2019,2,1,遥调(AO)#2019,累计量(CI)#2019
遥信(DI)#2020,遥测(AI)#2020,2020,-7981,遥控(DO)#2020,2,1,遥调(AO)#2020,累计量(CI)#2020
遥信(DI)#2021,遥测(AI)#2021,2021,-7980,遥控(DO)#2021,2,1,遥调(AO)#2021,累计量(CI)#2021
遥信(DI)#2022,遥测(AI)#2022,2022,-7979,遥控(DO)#2022,2,1,遥调(AO)#2022,累计量(CI)#2022
遥信(DI)#2023,遥测(AI)#2023,2023,-7978,遥控(DO)#2023,2,1,遥调(AO)#2023,累计量(CI)#2023
遥信(DI)#2024,遥测(AI)#2024,2024,-7977,遥控(DO)#2024,2,1,遥调(AO)#2024,累计量(CI)#2024
遥信(DI)#2025,遥测(AI)#2025,2025,-7976,遥控(DO)#2025,2,1,遥调(AO)#2025,累计量(CI)#2025
遥信(DI)#2026,遥测(AI)#2026,2026,-7975,遥控(DO)#2026,2,1,遥调(AO)#2026,累计量(CI)#2026
遥信(DI)#2027,遥测(AI)#2027,2027,-7974,遥控(DO)#2027,2,1,遥调(AO)#2027,累计量(CI)#2027
遥信(DI)#2028,遥测(AI)#2028,2028,-7973,遥控(DO)#2028,2,1,遥调(AO)#2028,累计量(CI)#2028
遥信(DI)#2029,遥测(AI)#2029,2029,-7972,遥控(DO)#2029,2,1,遥调(AO)#2029,累计量(CI)#2029
遥信(DI)#2030,遥测(AI)#2030,2030,-7971,遥控(DO)#2030,2,1,遥调(AO)#2030,累计量(CI)#2030
遥信(DI)#2031,遥测(AI)#2031,2031,-7970,遥控(DO)#2031,2,1,遥调(AO)#2031,累计量(CI)#2031
遥信(DI)#2032,遥测(AI)#2032,2032,-7969,遥控(DO)#2032,2,1,遥调(AO)#2032,累计量(CI)#2032
遥信(DI)#2033,遥测(AI)#2033,2033,-7968,遥控(DO)#2033,2,1,遥调(AO)#2033,累计量(CI)#2033
遥信(DI)#2034,遥测(AI)#2034,2034,-7967,遥控(DO)#2034,2,1,遥调(AO)#2034,累计量(CI)#2034
遥信(DI)#2035,遥测(AI)#2035,2035,-7966,遥控(DO)#2035,2,1,遥调(AO)#2035,累计量(CI)#2035
遥信(DI)#2036,遥测(AI)#2036,2036,-7965,遥控(DO)#2036,2,1,遥调(AO)#2036,累计量(CI)#2036
遥信(DI)#2037,遥测(AI)#2037,2037,-7964,遥控(DO)#2037,2,1,遥调(AO)#2037,累计量(CI)#2037
遥信(DI)#2038,遥测(AI)#2038,2038,-7963,遥控(DO)#2038,2,1,遥调(AO)#2038,累计量(CI)#2038
遥信(DI)#2039,遥测(AI)#2039,2039,-7962,遥控(DO)#2039,2,1,遥调(AO)#2039,累计量(CI)#2039
遥信(DI)#2040,遥测(AI)#2040,2040,-7961,遥控(DO)#2040,2,1,遥调(AO)#2040,累计量(CI)#2040
遥信(DI)#2041,遥测(AI)#2041,2041,-7960,遥控(DO)#2041,2,1,遥调(AO)#2041,累计量(CI)#2041
遥信(DI)#2042,遥测(AI)#2042,2042,-7959,遥控(DO)#2042,2,1,遥调(AO)#2042,累计量(CI)#2042
遥信(DI)#2043,遥测(AI)#2043,2043,-7958,遥控(DO)#2043,2,1,遥调(AO)#2043,累计量(CI)#2043
遥信(DI)#2044,遥测(AI)#2044,2044,-7957,遥控(DO)#2044,2,1,遥调(AO)#2044,累计量(CI)#2044
遥信(DI)#2045,遥测(AI)#2045,2045,-7956,遥控(DO)#2045,2,1,遥调(AO)#2045,累计量(CI)#2045
遥信(DI)#2046,遥测(AI)#2046,2046,-7955,遥控(DO)#2046,2,1,遥调(AO)#2046,累计量(CI)#2046
遥信(DI)#2047,遥测(AI)#2047,2047,-7954,遥控(DO)#2047,2,1,遥调(AO)#2047,累计量(CI)#2047
遥信(DI)#2048,遥测(AI)#2048,2048,-7953,遥控(DO)#2048,2,1,遥调(AO)#2048,累计量(CI)#2048
遥信(DI)#2049,遥测(AI)#2049,2049,-7952,遥控(DO)#2049,2,1,遥调(AO)#2049,累计量(CI)#2049
遥信(DI)#2050,遥测(AI)#2050,2050,-7951,遥控(DO)#2050,2,1,遥调(AO)#2050,累计量(CI)#2050
遥信(DI)#2051,遥测(AI)#2051,2051,-7950,遥控(DO)#2051,2,1,遥调(AO)#2051,累计量(CI)#2051
遥信(DI)#2052,遥测(AI)#2052,2052,-7949,遥控(DO)#2052,2,1,遥调(AO)#2052,累计量(CI)#2052
遥信(DI)#2053,遥测(AI)#2053,2053,-7948,遥控(DO)#2053,2,1,遥调(AO)#2053,累计量(CI)#2053
遥信(DI)#2054,遥测(AI)#2054,2054,-7947,遥控(DO)#2054,2,1,遥调(AO)#2054,累计量(CI)#2054
遥信(DI)#2055,遥测(AI)#2055,2055,-7946,遥控(DO)#2055,2,1,遥调(AO)#2055,累计量(CI)#2055
遥信(DI)#2056,遥测(AI)#2056,2056,-7945,遥控(DO)#2056,2,1,遥调(AO)#2056,累计量(CI)#2056
遥信(DI)#2057,遥测(AI)#2057,2057,-7944,遥控(DO)#2057,2,1,遥调(AO)#2057,累计量(CI)#2057
遥信(DI)#2058,遥测(AI)#2058,2058,-7943,遥控(DO)#2058,2,1,遥调(AO)#2058,累计量(CI)#2058
遥信(DI)#2059,遥测(AI)#2059,2059,-7942,遥控(DO)#2059,2,1,遥调(AO)#2059,累计量(CI)#2059
遥信(DI)#2060,遥测(AI)#2060,2060,-7941,遥控(DO)#2060,2,1,遥调(AO)#2060,累计量(CI)#2060
遥信(DI)#2061,遥测(AI)#2061,2061,-7940,遥控(DO)#2061,2,1,遥调(AO)#2061,累计量(CI)#2061
遥信(DI)#2062,遥测(AI)#2062,2062,-7939,遥控(DO)#2062,2,1,遥调(AO)#2062,累计量(CI)#2062
遥信(DI)#2063,遥测(AI)#2063,2063,-7938,遥控(DO)#2063,2,1,遥调(AO)#2063,累计量(CI)#2063
遥信(DI)#2064,遥测(AI)#2064,2064,-7937,遥控(DO)#2064,2,1,遥调(AO)#2064,累计量(CI)#2064
遥信(DI)#2065,遥测(AI)#2065,2065,-7936,遥控(DO)#2065,2,1,遥调(AO)#2065,累计量(CI)#2065
遥信(DI)#2066,遥测(AI)#2066,2066,-7935,遥控(DO)#2066,2,1,遥调(AO)#2066,累计量(CI)#2066
遥信(DI)#2067,遥测(AI)#2067,2067,-7934,遥控(DO)#2067,2,1,遥调(AO)#2067,累计量(CI)#2067
遥信(DI)#2068,遥测(AI)#2068,2068,-7933,遥控(DO)#2068,2,1,遥调(AO)#2068,累计量(CI)#2068
遥信(DI)#2069,遥测(AI)#2069,2069,-7932,遥控(DO)#2069,2,1,遥调(AO)#2069,累计量(CI)#2069
遥信(DI)#2070,遥测(AI)#2070,2070,-7931,遥控(DO)#2070,2,1,遥调(AO)#2070,累计量(CI)#2070
遥信(DI)#2071,遥测(AI)#2071,2071,-7930,遥控(DO)#2071,2,1,遥调(AO)#2071,累计量(CI)#2071
遥信(DI)#2072,遥测(AI)#2072,2072,-7929,遥控(DO)#2072,2,1,遥调(AO)#2072,累计量(CI)#2072
遥信(DI)#2073,遥测(AI)#2073,2073,-7928,遥控(DO)#2073,2,1,遥调(AO)#2073,累计量(CI)#2073
遥信(DI)#2074,遥测(AI)#2074,2074,-7927,遥控(DO)#2074,2,1,遥调(AO)#2074,累计量(CI)#2074
遥信(DI)#2075,遥测(AI)#2075,2075,-7926,遥控(DO)#2075,2,1,遥调(AO)#2075,累计量(CI)#2075
遥信(DI)#2076,遥测(AI)#2076,2076,-7925,遥控(DO)#2076,2,1,遥调(AO)#2076,累计量(CI)#2076
遥信(DI)#2077,遥测(AI)#2077,2077,-7924,遥控(DO)#2077,2,1,遥调(AO)#2077,累计量(CI)#2077
遥信(DI)#2078,遥测(AI)#2078,2078,-7923,遥控(DO)#2078,2,1,遥调(AO)#2078,累计量(CI)#2078
遥信(DI)#2079,遥测(AI)#2079,2079,-7922,遥控(DO)#2079,2,1,遥调(AO)#2079,累计量(CI)#2079
遥信(DI)#2080,遥测(AI)#2080,2080,-7921,遥控(DO)#2080,2,1,遥调(AO)#2080,累计量(CI)#2080
遥信(DI)#2081,遥测(AI)#2081,2081,-7920,遥控(DO)#2081,2,1,遥调(AO)#2081,累计量(CI)#2081
遥信(DI)#2082,遥测(AI)#2082,2082,-7919,遥控(DO)#2082,2,1,遥调(AO)#2082,累计量(CI)#2082
遥信(DI)#2083,遥测(AI)#2083,2083,-7918,遥控(DO)#2083,2,1,遥调(AO)#2083,累计量(CI)#2083
遥信(DI)#2084,遥测(AI)#2084,2084,-7917,遥控(DO)#2084,2,1,遥调(AO)#2084,累计量(CI)#2084
遥信(DI)#2085,遥测(AI)#2085,2085,-7916,遥控(DO)#2085,2,1,遥调(AO)#2085,累计量(CI)#2085
遥信(DI)#2086,遥测(AI)#2086,2086,-7915,遥控(DO)#2086,2,1,遥调(AO)#2086,累计量(CI)#2086
遥信(DI)#2087,遥测(AI)#2087,2087,-7914,遥控(DO)#2087,2,1,遥调(AO)#2087,累计量(CI)#2087
遥信(DI)#2088,遥测(AI)#2088,2088,-7913,遥控(DO)#2088,2,1,遥调(AO)#2088,累计量(CI)#2088
